2024-04-01 12:01:43.2874 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Done attempting to validate the bound parameter 'a' of type 'System.Decimal'. 
2024-04-01 12:01:43.2874 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Attempting to bind parameter 'b' of type 'System.Decimal' ... 
2024-04-01 12:01:43.2874 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DecimalModelBinder | Attempting to bind parameter 'b' of type 'System.Decimal' using the name 'b' in request data ... 
2024-04-01 12:01:43.2874 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DecimalModelBinder | Done attempting to bind parameter 'b' of type 'System.Decimal'. 
2024-04-01 12:01:43.2874 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Done attempting to bind parameter 'b' of type 'System.Decimal'. 
2024-04-01 12:01:43.2874 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Attempting to validate the bound parameter 'b' of type 'System.Decimal' ... 
2024-04-01 12:01:43.2874 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Done attempting to validate the bound parameter 'b' of type 'System.Decimal'. 
2024-04-01 12:01:44.5343 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | List of registered output formatters, in the following order: Microsoft.AspNetCore.Mvc.Formatters.HttpNoContentOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.StringOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.StreamOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonOutputFormatter 
2024-04-01 12:01:44.5343 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | No information found on request to perform content negotiation. 
2024-04-01 12:01:44.5343 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Attempting to select an output formatter without using a content type as no explicit content types were specified for the response. 
2024-04-01 12:01:44.5343 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Attempting to select the first formatter in the output formatters list which can write the result. 
2024-04-01 12:01:44.5343 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Selected output formatter 'Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonOutputFormatter' and content type 'application/json' to write the response. 
2024-04-01 12:01:48.4171 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2I2LFH6BA2" received FIN. 
2024-04-01 12:01:48.4171 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I2LFH6BA2" is closed. The last processed stream ID was 1. 
2024-04-01 12:01:48.4171 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2I2LFH6BA2" sending FIN because: "The client closed the connection." 
2024-04-01 12:01:48.4171 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2I2LFH6BA2" stopped. 
